국가,drama,action,animation,romance,thriller
KR,30.51851851851852,55.77777777777778,42.092592592592595,12.518518518518519,2.4074074074074074
JP,45.425925925925924,84.16666666666667,68.38888888888889,26.35185185185185,3.240740740740741
