keyword_count,weekly_hours_viewed,상관관계
0,9838042.553191489,0.16053288041930863
1,14109839.572192512,0.16053288041930863
2,15518794.567062818,0.16053288041930863
3,14764584.905660378,0.16053288041930863
4,16695547.703180213,0.16053288041930863
5,21354649.80544747,0.16053288041930863
6,20282421.05263158,0.16053288041930863
7,19682740.046838406,0.16053288041930863
8,17586373.333333332,0.16053288041930863
9,13540676.15658363,0.16053288041930863
10,20971513.353115726,0.16053288041930863
11,24404943.181818184,0.16053288041930863
12,20017888.888888888,0.16053288041930863
13,32031453.287197232,0.16053288041930863
14,15999565.217391305,0.16053288041930863
15,11748297.872340426,0.16053288041930863
16,40175606.06060606,0.16053288041930863
17,20750781.25,0.16053288041930863
18,20517443.609022558,0.16053288041930863
19,29443789.47368421,0.16053288041930863
20,14115147.05882353,0.16053288041930863
21,12733333.333333334,0.16053288041930863
22,18621086.95652174,0.16053288041930863
23,11096285.714285715,0.16053288041930863
24,22897777.777777776,0.16053288041930863
25,18165000.0,0.16053288041930863
26,18132142.85714286,0.16053288041930863
27,11381666.666666666,0.16053288041930863
28,32157600.0,0.16053288041930863
29,12952857.142857144,0.16053288041930863
30,6560000.0,0.16053288041930863
32,7492000.0,0.16053288041930863
33,9400000.0,0.16053288041930863
34,12500000.0,0.16053288041930863
36,7700000.0,0.16053288041930863
37,58315294.11764706,0.16053288041930863
38,11600000.0,0.16053288041930863
41,15313333.333333334,0.16053288041930863
49,12550000.0,0.16053288041930863
